Row,Column,Well,Plate,Sample,Measurement,Value,Mean,Std
E,10,E10,11938,1M-O_Glc,Meas A,458.0,337.5000,160.4005
F,2,F02,11938,3S-O_CAA,Meas A,338.0,321.7500,106.3026
F,3,F03,11938,2S-O_CAA,Meas A,367.0,303.2500,121.7823
F,4,F04,11938,1S-O_CAA,Meas A,367.0,327.0000,113.4225
F,5,F05,11938,3P-O_CAA,Meas A,287.0,292.7500,105.4905
F,6,F06,11938,2P-O_CAA,Meas A,421.0,356.5000,157.0191
F,7,F07,11938,1P-O_CAA,Meas A,373.0,341.0000,144.2521
F,8,F08,11938,3M-O_CAA,Meas A,418.0,358.5000,138.9736
F,9,F09,11938,2M-O_CAA,Meas A,424.0,325.2500,156.9785
F,10,F10,11938,1M-O_CAA,Meas A,396.0,314.7500,144.9307
G,2,G02,11938,3S_Glc,Meas A,378.0,278.0000,149.5393
G,3,G03,11938,2S_Glc,Meas A,340.0,334.2500,131.8493
G,4,G04,11938,1S_Glc,Meas A,324.0,330.5000,118.4863
G,5,G05,11938,3P_Glc,Meas A,351.0,313.7500,110.8313
G,6,G06,11938,2P_Glc,Meas A,378.0,295.2500,133.6697
G,7,G07,11938,1P_Glc,Meas A,286.0,311.0000,125.7537
G,8,G08,11938,3M_Glc,Meas A,422.0,310.0000,162.4705
G,9,G09,11938,2M_Glc,Meas A,371.0,307.5000,124.5592
G,10,G10,11938,1M_Glc,Meas A,439.0,352.2500,107.9487
H,2,H02,11938,3S_CAA,Meas A,389.0,324.0000,153.7119
H,3,H03,11938,2S_CAA,Meas A,356.0,309.2500,131.9378
H,4,H04,11938,1S_CAA,Meas A,366.0,312.5000,103.0809
H,5,H05,11938,3P_CAA,Meas A,330.0,303.0000,135.7891
H,6,H06,11938,2P_CAA,Meas A,329.0,304.0000,100.1699
H,7,H07,11938,1P_CAA,Meas A,350.0,322.2500,120.4834
H,8,H08,11938,3M_CAA,Meas A,401.0,322.5000,141.4885
H,9,H09,11938,2M_CAA,Meas A,313.0,290.0000,124.2632
H,10,H10,11938,1M_CAA,Meas A,348.0,306.0000,139.9595
A,2,A02,11938,3S-H_Glc,Meas B,0.043,0.0432,0.0013
A,3,A03,11938,2S-H_Glc,Meas B,0.043,0.0473,0.0085
A,4,A04,11938,1S-H_Glc,Meas B,0.041,0.0462,0.0062
A,5,A05,11938,3P-H_Glc,Meas B,0.043,0.0445,0.0019
A,6,A06,11938,2P-H_Glc,Meas B,0.041,0.0430,0.0028
A,7,A07,11938,1P-H_Glc,Meas B,0.042,0.0440,0.0040
A,8,A08,11938,3M-H_Glc,Meas B,0.041,0.0432,0.0022
A,9,A09,11938,2M-H_Glc,Meas B,0.042,0.0427,0.0010
A,10,A10,11938,1M-H_Glc,Meas B,0.042,0.0435,0.0013
A,11,A11,11938,Glc_Spc,Meas B,0.042,0.0393,0.0021
B,2,B02,11938,3S-H_CAA,Meas B,0.044,0.0432,0.0005
B,3,B03,11938,2S-H_CAA,Meas B,0.044,0.0442,0.0005
B,4,B04,11938,1S-H_CAA,Meas B,0.041,0.0432,0.0021
B,5,B05,11938,3P-H_CAA,Meas B,0.043,0.0435,0.0006
B,6,B06,11938,2P-H_CAA,Meas B,0.043,0.0435,0.0013
B,7,B07,11938,1P-H_CAA,Meas B,0.043,0.0430,0.0000
B,8,B08,11938,3M-H_CAA,Meas B,0.043,0.0432,0.0005
B,9,B09,11938,2M-H_CAA,Meas B,0.044,0.0442,0.0005
B,10,B10,11938,1M-H_CAA,Meas B,0.044,0.0435,0.0006
B,11,B11,11938,CAA_Spc,Meas B,0.038,0.0398,0.0017
C,2,C02,11938,3S-M_Glc,Meas B,0.042,0.0428,0.0015
C,3,C03,11938,2S-M_Glc,Meas B,0.042,0.0442,0.0046
C,4,C04,11938,1S-M_CAA,Meas B,0.043,0.0435,0.0006
C,5,C05,11938,3P-M_Glc,Meas B,0.04,0.0408,0.0010
C,6,C06,11938,2P-M_Glc,Meas B,0.041,0.0410,0.0008
C,7,C07,11938,1P-M_Glc,Meas B,0.04,0.0408,0.0010
C,8,C08,11938,3M-M_Glc,Meas B,0.041,0.0418,0.0010
C,9,C09,11938,2M-M_Glc,Meas B,0.042,0.0432,0.0013
C,10,C10,11938,1M-M_Glc,Meas B,0.041,0.0420,0.0014
